mode,total_model_mb,peak_exposure_mb,pct_exposed,plaintext_seconds,load_time_s
baseline,14483.559275,14483.464192,99.99934351081669,486732812785.584,33.606104612350464
chunked,14483.559275,1832.968192,12.655509306775699,169814208686.89258,132.92611050605774
