chunk_id,chunk_bytes,decrypt_s,plaintext_seconds,pct_of_model,ram_before_gb,ram_after_gb
0,1832968192,9.74356198310852,17859639191.81836,12.655509306775699,17.929392128,17.929392128
1,1308672000,6.91290545463562,9046725807.128906,9.035569055590447,17.388322816,17.388322816
2,1308672000,6.613677501678467,8655134563.476562,9.035569055590447,17.396711424,17.396711424
3,1308672000,6.65819239616394,8713389959.472656,9.035569055590447,17.405100032,17.405100032
4,1308672000,6.733795642852783,8812329811.523438,9.035569055590447,17.405100032,17.405100032
5,1308672000,6.619649648666382,8662950145.019531,9.035569055590447,17.405108224,17.405108224
6,1308672000,6.609459638595581,8649614764.160156,9.035569055590447,17.413500928,17.413500928
7,1308672000,6.581888675689697,8613533416.992188,9.035569055590447,17.413500928,17.413500928
8,872448000,4.4664459228515625,3896741812.5,6.023712703726964,16.99418112,16.99418112
9,872448000,4.480753660202026,3909224569.3359375,6.023712703726964,16.960622592,16.960622592
10,872448000,4.466509819030762,3896797558.59375,6.023712703726964,16.977403904,16.977403904
11,872448000,4.602472305297852,4015417757.8125,6.023712703726964,16.977403904,16.977403904
